code,codeDotted,billable,category,shortTitle,longTitle
K7683,K76.83,true,K76,Intestinal failure-associated liver disease,Intestinal failure-associated liver disease
L02237,L02.237,true,L02,Carbuncle of flank,Carbuncle of flank
M043,M04.3,true,M04,VEXAS syndrome,VEXAS syndrome
M67A,M67.A,false,M67,Plantar fasciitis,Plantar fasciitis
M67A0,M67.A0,false,M67,"Plantar fasciitis, foot","Plantar fasciitis, foot"
M67A01,M67.A01,true,M67,"Plantar fasciitis, right foot","Plantar fasciitis, right foot"
M67A02,M67.A02,true,M67,"Plantar fasciitis, left foot","Plantar fasciitis, left foot"
M67A09,M67.A09,true,M67,"Plantar fasciitis, unspecified foot","Plantar fasciitis, unspecified foot"
M7220,M72.20,true,M72,"Plantar fascial fibromatosis, unspecified foot","Plantar fascial fibromatosis, unspecified foot"
M7221,M72.21,true,M72,"Plantar fascial fibromatosis, right foot","Plantar fascial fibromatosis, right foot"
M7222,M72.22,true,M72,"Plantar fascial fibromatosis, left foot","Plantar fascial fibromatosis, left foot"
M868X11,M86.8X11,true,M86,"Other osteomyelitis, right shoulder","Other osteomyelitis, right shoulder"
M868X12,M86.8X12,true,M86,"Other osteomyelitis, left shoulder","Other osteomyelitis, left shoulder"
M868X19,M86.8X19,true,M86,"Other osteomyelitis, unspecified shoulder","Other osteomyelitis, unspecified shoulder"
M868X21,M86.8X21,true,M86,"Other osteomyelitis, right upper arm","Other osteomyelitis, right upper arm"
M868X22,M86.8X22,true,M86,"Other osteomyelitis, left upper arm","Other osteomyelitis, left upper arm"
M868X29,M86.8X29,true,M86,"Other osteomyelitis, unspecified upper arm","Other osteomyelitis, unspecified upper arm"
M868X31,M86.8X31,true,M86,"Other osteomyelitis, right forearm","Other osteomyelitis, right forearm"
M868X32,M86.8X32,true,M86,"Other osteomyelitis, left forearm","Other osteomyelitis, left forearm"
M868X39,M86.8X39,true,M86,"Other osteomyelitis, unspecified forearm","Other osteomyelitis, unspecified forearm"
M868X41,M86.8X41,true,M86,"Other osteomyelitis, right hand","Other osteomyelitis, right hand"
M868X42,M86.8X42,true,M86,"Other osteomyelitis, left hand","Other osteomyelitis, left hand"
M868X49,M86.8X49,true,M86,"Other osteomyelitis, unspecified hand","Other osteomyelitis, unspecified hand"
M868X51,M86.8X51,true,M86,"Other osteomyelitis, right thigh","Other osteomyelitis, right thigh"
M868X52,M86.8X52,true,M86,"Other osteomyelitis, left thigh","Other osteomyelitis, left thigh"
M868X59,M86.8X59,true,M86,"Other osteomyelitis, unspecified thigh","Other osteomyelitis, unspecified thigh"
M868X61,M86.8X61,true,M86,"Other osteomyelitis, right lower leg","Other osteomyelitis, right lower leg"
M868X62,M86.8X62,true,M86,"Other osteomyelitis, left lower leg","Other osteomyelitis, left lower leg"
M868X69,M86.8X69,true,M86,"Other osteomyelitis, unspecified lower leg","Other osteomyelitis, unspecified lower leg"
M868X71,M86.8X71,true,M86,"Other osteomyelitis, right ankle and foot","Other osteomyelitis, right ankle and foot"
M868X72,M86.8X72,true,M86,"Other osteomyelitis, left ankle and foot","Other osteomyelitis, left ankle and foot"
M868X79,M86.8X79,true,M86,"Other osteomyelitis, unspecified ankle and foot","Other osteomyelitis, unspecified ankle and foot"
M868X80,M86.8X80,true,M86,"Other osteomyelitis, skull","Other osteomyelitis, skull"
M868X81,M86.8X81,true,M86,"Other osteomyelitis, face and sinuses","Other osteomyelitis, face and sinuses"
M868X89,M86.8X89,true,M86,"Other osteomyelitis, other site","Other osteomyelitis, other site"
N9986,N99.86,false,N99,Intraop and postproc complications and disorders of breast,Intraoperative and postprocedural complications and disorders of breast
N99860,N99.860,true,N99,Intraoperative and postprocedural nipple ischemia,Intraoperative and postprocedural nipple ischemia
N99861,N99.861,true,N99,Intraoperative and postprocedural nipple necrosis,Intraoperative and postprocedural nipple necrosis
O0012,O00.12,false,O00,Interstit ectopic pregnancy without intrauterine pregnancy,Interstitial ectopic pregnancy without intrauterine pregnancy
O00121,O00.121,true,O00,Right interstit ectopic pregnancy without uterin pregnancy,Right interstitial ectopic pregnancy without intrauterine pregnancy
O00122,O00.122,true,O00,Left interstit ectopic pregnancy without uterin pregnancy,Left interstitial ectopic pregnancy without intrauterine pregnancy
O00129,O00.129,true,O00,Unsp interstit ectopic pregnancy without uterin pregnancy,Unspecified interstitial ectopic pregnancy without intrauterine pregnancy
O0013,O00.13,false,O00,Interstitial ectopic pregnancy with intrauterine pregnancy,Interstitial ectopic pregnancy with intrauterine pregnancy
O00131,O00.131,true,O00,Right interstit ectopic pregnancy with uterin pregnancy,Right interstitial ectopic pregnancy with intrauterine pregnancy
O00132,O00.132,true,O00,Left interstit ectopic pregnancy with intrauterine pregnancy,Left interstitial ectopic pregnancy with intrauterine pregnancy
O00139,O00.139,true,O00,Unsp interstit ectopic pregnancy with uterin pregnancy,Unspecified interstitial ectopic pregnancy with intrauterine pregnancy
O003,O00.3,false,O00,Cesarean scar ectopic pregnancy,Cesarean scar ectopic pregnancy
O0031,O00.31,true,O00,Cesarean scar ectopic pregnancy without uterin pregnancy,Cesarean scar ectopic pregnancy without intrauterine pregnancy
O0032,O00.32,true,O00,Cesarean scar ectopic pregnancy with intrauterine pregnancy,Cesarean scar ectopic pregnancy with intrauterine pregnancy
O004,O00.4,false,O00,Cervical ectopic pregnancy,Cervical ectopic pregnancy
O0041,O00.41,true,O00,Cervical ectopic pregnancy without intrauterine pregnancy,Cervical ectopic pregnancy without intrauterine pregnancy
O0042,O00.42,true,O00,Cervical ectopic pregnancy with intrauterine pregnancy,Cervical ectopic pregnancy with intrauterine pregnancy
O005,O00.5,false,O00,Cornual ectopic pregnancy,Cornual ectopic pregnancy
O0051,O00.51,false,O00,Cornual ectopic pregnancy without intrauterine pregnancy,Cornual ectopic pregnancy without intrauterine pregnancy
O00511,O00.511,true,O00,Right cornual ectopic pregnancy without uterin pregnancy,Right cornual ectopic pregnancy without intrauterine pregnancy
O00512,O00.512,true,O00,Left cornual ectopic pregnancy without uterin pregnancy,Left cornual ectopic pregnancy without intrauterine pregnancy
O00519,O00.519,true,O00,Unsp cornual ectopic pregnancy without uterin pregnancy,Unspecified cornual ectopic pregnancy without intrauterine pregnancy
O0052,O00.52,false,O00,Cornual ectopic pregnancy with intrauterine pregnancy,Cornual ectopic pregnancy with intrauterine pregnancy
