fiscalYear,code,codeDotted,billable,previousLongTitle,newLongTitle,previousShortTitle,newShortTitle
2018,S62651P,S62.651P,true,"Nondisplaced fracture of medial phalanx of left index finger, subsequent encounter for fracture with malunion","Nondisplaced fracture of middle phalanx of left index finger, subsequent encounter for fracture with malunion","Nondisp fx of med phalanx of l idx fngr, 7thP","Nondisp fx of middle phalanx of left index finger, 7thP"
2018,S62651S,S62.651S,true,"Nondisplaced fracture of medial phalanx of left index finger, sequela","Nondisplaced fracture of middle phalanx of left index finger, sequela","Nondisp fx of medial phalanx of left index finger, sequela","Nondisp fx of middle phalanx of left index finger, sequela"
2018,S62652,S62.652,false,Nondisplaced fracture of medial phalanx of right middle finger,Nondisplaced fracture of middle phalanx of right middle finger,Nondisp fx of medial phalanx of right middle finger,Nondisp fx of middle phalanx of right middle finger
2018,S62652A,S62.652A,true,"Nondisplaced fracture of medial phalanx of right middle finger, initial encounter for closed fracture","Nondisplaced fracture of middle phalanx of right middle finger, initial encounter for closed fracture","Nondisp fx of medial phalanx of right middle finger, init","Nondisp fx of middle phalanx of right middle finger, init"
2018,S62652B,S62.652B,true,"Nondisplaced fracture of medial phalanx of right middle finger, initial encounter for open fracture","Nondisplaced fracture of middle phalanx of right middle finger, initial encounter for open fracture","Nondisp fx of medial phalanx of r mid fngr, init for opn fx","Nondisp fx of middle phalanx of right middle finger, 7thB"
2018,S62652D,S62.652D,true,"Nondisplaced fracture of medial phalanx of right middle finger, subsequent encounter for fracture with routine healing","Nondisplaced fracture of middle phalanx of right middle finger, subsequent encounter for fracture with routine healing","Nondisp fx of med phalanx of r mid fngr, 7thD","Nondisp fx of middle phalanx of right middle finger, 7thD"
2018,S62652G,S62.652G,true,"Nondisplaced fracture of medial phalanx of right middle finger, subsequent encounter for fracture with delayed healing","Nondisplaced fracture of middle phalanx of right middle finger, subsequent encounter for fracture with delayed healing","Nondisp fx of med phalanx of r mid fngr, 7thG","Nondisp fx of middle phalanx of right middle finger, 7thG"
2018,S62652K,S62.652K,true,"Nondisplaced fracture of medial phalanx of right middle finger, subsequent encounter for fracture with nonunion","Nondisplaced fracture of middle phalanx of right middle finger, subsequent encounter for fracture with nonunion","Nondisp fx of med phalanx of r mid fngr, 7thK","Nondisp fx of middle phalanx of right middle finger, 7thK"
2018,S62652P,S62.652P,true,"Nondisplaced fracture of medial phalanx of right middle finger, subsequent encounter for fracture with malunion","Nondisplaced fracture of middle phalanx of right middle finger, subsequent encounter for fracture with malunion","Nondisp fx of med phalanx of r mid fngr, 7thP","Nondisp fx of middle phalanx of right middle finger, 7thP"
2018,S62652S,S62.652S,true,"Nondisplaced fracture of medial phalanx of right middle finger, sequela","Nondisplaced fracture of middle phalanx of right middle finger, sequela","Nondisp fx of medial phalanx of right middle finger, sequela","Nondisp fx of middle phalanx of right middle finger, sequela"
2018,S62653,S62.653,false,Nondisplaced fracture of medial phalanx of left middle finger,Nondisplaced fracture of middle phalanx of left middle finger,Nondisp fx of medial phalanx of left middle finger,Nondisp fx of middle phalanx of left middle finger
2018,S62653A,S62.653A,true,"Nondisplaced fracture of medial phalanx of left middle finger, initial encounter for closed fracture","Nondisplaced fracture of middle phalanx of left middle finger, initial encounter for closed fracture","Nondisp fx of medial phalanx of left middle finger, init","Nondisp fx of middle phalanx of left middle finger, init"
2018,S62653B,S62.653B,true,"Nondisplaced fracture of medial phalanx of left middle finger, initial encounter for open fracture","Nondisplaced fracture of middle phalanx of left middle finger, initial encounter for open fracture","Nondisp fx of medial phalanx of l mid fngr, init for opn fx","Nondisp fx of middle phalanx of left middle finger, 7thB"
2018,S62653D,S62.653D,true,"Nondisplaced fracture of medial phalanx of left middle finger, subsequent encounter for fracture with routine healing","Nondisplaced fracture of middle phalanx of left middle finger, subsequent encounter for fracture with routine healing","Nondisp fx of med phalanx of l mid fngr, 7thD","Nondisp fx of middle phalanx of left middle finger, 7thD"
2018,S62653G,S62.653G,true,"Nondisplaced fracture of medial phalanx of left middle finger, subsequent encounter for fracture with delayed healing","Nondisplaced fracture of middle phalanx of left middle finger, subsequent encounter for fracture with delayed healing","Nondisp fx of med phalanx of l mid fngr, 7thG","Nondisp fx of middle phalanx of left middle finger, 7thG"
2018,S62653K,S62.653K,true,"Nondisplaced fracture of medial phalanx of left middle finger, subsequent encounter for fracture with nonunion","Nondisplaced fracture of middle phalanx of left middle finger, subsequent encounter for fracture with nonunion","Nondisp fx of med phalanx of l mid fngr, 7thK","Nondisp fx of middle phalanx of left middle finger, 7thK"
2018,S62653P,S62.653P,true,"Nondisplaced fracture of medial phalanx of left middle finger, subsequent encounter for fracture with malunion","Nondisplaced fracture of middle phalanx of left middle finger, subsequent encounter for fracture with malunion","Nondisp fx of med phalanx of l mid fngr, 7thP","Nondisp fx of middle phalanx of left middle finger, 7thP"
2018,S62653S,S62.653S,true,"Nondisplaced fracture of medial phalanx of left middle finger, sequela","Nondisplaced fracture of middle phalanx of left middle finger, sequela","Nondisp fx of medial phalanx of left middle finger, sequela","Nondisp fx of middle phalanx of left middle finger, sequela"
2018,S6312,S63.12,false,Subluxation and dislocation of unspecified interphalangeal joint of thumb,Subluxation and dislocation of interphalangeal joint of thumb,Subluxation and disloc of unsp interphaln joint of thumb,Subluxation and dislocation of interphaln joint of thumb
2018,S63121,S63.121,false,Subluxation of unspecified interphalangeal joint of right thumb,Subluxation of interphalangeal joint of right thumb,Subluxation of unsp interphalangeal joint of right thumb,Subluxation of interphalangeal joint of right thumb
2018,S63121A,S63.121A,true,"Subluxation of unspecified interphalangeal joint of right thumb, initial encounter","Subluxation of interphalangeal joint of right thumb, initial encounter","Subluxation of unsp interphaln joint of right thumb, init","Subluxation of interphalangeal joint of right thumb, init"
2018,S63121D,S63.121D,true,"Subluxation of unspecified interphalangeal joint of right thumb, subsequent encounter","Subluxation of interphalangeal joint of right thumb, subsequent encounter","Subluxation of unsp interphaln joint of right thumb, subs","Subluxation of interphalangeal joint of right thumb, subs"
2018,S63121S,S63.121S,true,"Subluxation of unspecified interphalangeal joint of right thumb, sequela","Subluxation of interphalangeal joint of right thumb, sequela","Subluxation of unsp interphaln joint of right thumb, sequela","Subluxation of interphalangeal joint of right thumb, sequela"
2018,S63122,S63.122,false,Subluxation of unspecified interphalangeal joint of left thumb,Subluxation of interphalangeal joint of left thumb,Subluxation of unsp interphalangeal joint of left thumb,Subluxation of interphalangeal joint of left thumb
2018,S63122A,S63.122A,true,"Subluxation of unspecified interphalangeal joint of left thumb, initial encounter","Subluxation of interphalangeal joint of left thumb, initial encounter","Subluxation of unsp interphaln joint of left thumb, init","Subluxation of interphalangeal joint of left thumb, init"
2018,S63122D,S63.122D,true,"Subluxation of unspecified interphalangeal joint of left thumb, subsequent encounter","Subluxation of interphalangeal joint of left thumb, subsequent encounter","Subluxation of unsp interphaln joint of left thumb, subs","Subluxation of interphalangeal joint of left thumb, subs"
2018,S63122S,S63.122S,true,"Subluxation of unspecified interphalangeal joint of left thumb, sequela","Subluxation of interphalangeal joint of left thumb, sequela","Subluxation of unsp interphaln joint of left thumb, sequela","Subluxation of interphalangeal joint of left thumb, sequela"
2018,S63123,S63.123,false,Subluxation of unspecified interphalangeal joint of unspecified thumb,Subluxation of interphalangeal joint of unspecified thumb,Subluxation of unsp interphalangeal joint of unsp thumb,Subluxation of interphalangeal joint of unspecified thumb
2018,S63123A,S63.123A,true,"Subluxation of unspecified interphalangeal joint of unspecified thumb, initial encounter","Subluxation of interphalangeal joint of unspecified thumb, initial encounter","Subluxation of unsp interphalangeal joint of thmb, init","Subluxation of interphalangeal joint of thmb, init"
2018,S63123D,S63.123D,true,"Subluxation of unspecified interphalangeal joint of unspecified thumb, subsequent encounter","Subluxation of interphalangeal joint of unspecified thumb, subsequent encounter","Subluxation of unsp interphalangeal joint of thmb, subs","Subluxation of interphalangeal joint of thmb, subs"
2018,S63123S,S63.123S,true,"Subluxation of unspecified interphalangeal joint of unspecified thumb, sequela","Subluxation of interphalangeal joint of unspecified thumb, sequela","Subluxation of unsp interphalangeal joint of thmb, sequela","Subluxation of interphalangeal joint of thmb, sequela"
2018,S63124,S63.124,false,Dislocation of unspecified interphalangeal joint of right thumb,Dislocation of interphalangeal joint of right thumb,Dislocation of unsp interphalangeal joint of right thumb,Dislocation of interphalangeal joint of right thumb
2018,S63124A,S63.124A,true,"Dislocation of unspecified interphalangeal joint of right thumb, initial encounter","Dislocation of interphalangeal joint of right thumb, initial encounter","Dislocation of unsp interphaln joint of right thumb, init","Dislocation of interphalangeal joint of right thumb, init"
2018,S63124D,S63.124D,true,"Dislocation of unspecified interphalangeal joint of right thumb, subsequent encounter","Dislocation of interphalangeal joint of right thumb, subsequent encounter","Dislocation of unsp interphaln joint of right thumb, subs","Dislocation of interphalangeal joint of right thumb, subs"
2018,S63124S,S63.124S,true,"Dislocation of unspecified interphalangeal joint of right thumb, sequela","Dislocation of interphalangeal joint of right thumb, sequela","Dislocation of unsp interphaln joint of right thumb, sequela","Dislocation of interphalangeal joint of right thumb, sequela"
2018,S63125,S63.125,false,Dislocation of unspecified interphalangeal joint of left thumb,Dislocation of interphalangeal joint of left thumb,Dislocation of unsp interphalangeal joint of left thumb,Dislocation of interphalangeal joint of left thumb
2018,S63125A,S63.125A,true,"Dislocation of unspecified interphalangeal joint of left thumb, initial encounter","Dislocation of interphalangeal joint of left thumb, initial encounter","Dislocation of unsp interphaln joint of left thumb, init","Dislocation of interphalangeal joint of left thumb, init"
2018,S63125D,S63.125D,true,"Dislocation of unspecified interphalangeal joint of left thumb, subsequent encounter","Dislocation of interphalangeal joint of left thumb, subsequent encounter","Dislocation of unsp interphaln joint of left thumb, subs","Dislocation of interphalangeal joint of left thumb, subs"
2018,S63125S,S63.125S,true,"Dislocation of unspecified interphalangeal joint of left thumb, sequela","Dislocation of interphalangeal joint of left thumb, sequela","Dislocation of unsp interphaln joint of left thumb, sequela","Dislocation of interphalangeal joint of left thumb, sequela"
2018,S63126,S63.126,false,Dislocation of unspecified interphalangeal joint of unspecified thumb,Dislocation of interphalangeal joint of unspecified thumb,Dislocation of unsp interphalangeal joint of unsp thumb,Dislocation of interphalangeal joint of unspecified thumb
2018,S63126A,S63.126A,true,"Dislocation of unspecified interphalangeal joint of unspecified thumb, initial encounter","Dislocation of interphalangeal joint of unspecified thumb, initial encounter","Dislocation of unsp interphalangeal joint of thmb, init","Dislocation of interphalangeal joint of thmb, init"
2018,S63126D,S63.126D,true,"Dislocation of unspecified interphalangeal joint of unspecified thumb, subsequent encounter","Dislocation of interphalangeal joint of unspecified thumb, subsequent encounter","Dislocation of unsp interphalangeal joint of thmb, subs","Dislocation of interphalangeal joint of thmb, subs"
2018,S63126S,S63.126S,true,"Dislocation of unspecified interphalangeal joint of unspecified thumb, sequela","Dislocation of interphalangeal joint of unspecified thumb, sequela","Dislocation of unsp interphalangeal joint of thmb, sequela","Dislocation of interphalangeal joint of thmb, sequela"
2018,S7303,S73.03,false,Other anterior dislocation of hip,Other anterior subluxation and dislocation of hip,Other anterior dislocation of hip,Other anterior subluxation and dislocation of hip
2018,S7304,S73.04,false,Central dislocation of hip,Central subluxation and dislocation of hip,Central dislocation of hip,Central subluxation and dislocation of hip
